Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
292972,0;2024-01-01;06:05:00;COM VÍTIMA;FINALIZADA;VASCO DA GAMA;AV NORTE MIGUEL ARRAES DE ALENCAR;;;E/F A IGREJA QUADRANGULAR SENTIDO MACAXEIRA;VASCO DA GAMA;;;COLISÃO LATERAL;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
292973,0;2024-01-01;09:14:00;COM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA VASCO DA GAMA;1353;;APOS A DELIGACIA DO VASCO // MERCEARIA DO BIBIO;VASCO DA GAMA;;;COLISÃO;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
292974,0;2024-01-01;10:31:00;COM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA ALTO TREZE DE MAIO;290;;DEPOIS DA COMPESA;VASCO DA GAMA;;;COLISÃO;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
292980,0;2024-01-01;04:11:00;COM VÍTIMA;FINALIZADA;ARRUDA;AV PROFESSOR JOSE DOS ANJOS;;AV NORTE MIGUEL ARRAES DE ALENCAR;;ARRUDA;;;COLISÃO;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
292985,0;2024-01-01;06:53:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;1672;RUA PADRE CARAPUCEIRO;EM FRENTE A PURO AÇAI E PROXIMO AO VERDE FRUT;BOA VIAGEM;;;COLISÃO;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293030,0;2024-01-02;03:10:00;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA SAO MIGUEL;;;BANCO DO BRASIL;AFOGADOS;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293034,0;2024-01-02;03:43:00;COM VÍTIMA;FINALIZADA;BARRO;AV DR JOSE RUFINO;3850;;PROX AO MIX MATHEUS E EM FRENTE A SOCORRO  VENANCIO RECEPÇÕES;BARRO;;;COLISÃO;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293036,0;2024-01-02;04:10:00;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA DO ESPINHEIRO;73;;AO LADO DO HOSPITAL DO SERVIDOR;ESPINHEIRO;;;COLISÃO;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293046,0;2024-01-02;05:51:00;COM VÍTIMA;CANCELADA;AFOGADOS;RUA VINTE E UM DE ABRIL;1056;;CAFÉ PETINHO;AFOGADOS;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293054,0;2024-01-02;11:09:00;COM VÍTIMA;FINALIZADA;IPUTINGA;AV MAURICIO DE NASSAU;105;;AO LADO DO HOSPITAL ALTINO VENTURA;IPUTINGA;;;COLISÃO;1,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;;;;;;;;;;;;;
293087,0;2024-01-03;11:38:00;COM VÍTIMA;FINALIZADA;DERBY;RUA JENER DE SOUZA;775;;PROX. A PRAÇA DO DERBY;DERBY;;;ATROPELAMENTO DE PESSOA;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293092,0;2024-01-03;01:16:00;COM VÍTIMA;FINALIZADA;JOANA BEZERRA;AV DES GUERRA BARRETO;;;PROX AO FORUM RODOLFO AURELIANO  DE JOANA BEZERRA / PROX A BEIRA RIO;JOANA BEZERRA;;;ATROPELAMENTO DE PESSOA;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293093,0;2024-01-03;01:28:00;COM VÍTIMA;FINALIZADA;JOANA BEZERRA;VDO PAPA JOAO PAULO II;;;SOBRE O VIADUTO;JOANA BEZERRA;;;CHOQUE;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
293099,0;2024-01-03;02:11:00;SEM VÍTIMA;FINALIZADA;SAO JOSE;RUA CORACAO DE MARIA;;;EM FRENTE AO  16ª BATALHÃO  DA POLÍCIA MILITAR;SAO JOSE;;SUBURBIO;CHOQUE;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;;;;;;;;;;;;;
